City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,aitape,-3.1374,142.3475,302.66,69,14,1.22,PG,1699832881
153,nemuro,43.3236,145.575,277.89,53,74,6.14,JP,1699832882
154,badger,64.8,-147.5333,266.08,79,75,1.54,US,1699832882
155,kotlas,61.2611,46.6556,273.18,90,100,2.68,RU,1699832883
156,dryden,49.7833,-92.7503,274.31,100,100,6.17,CA,1699832884
157,enewetak,11.3474,162.3373,300.25,86,100,9.2,MH,1699832884
158,masterton,-40.9597,175.6575,288.64,57,73,6.18,NZ,1699832885
159,zhumysker,49.3333,49.4,281.25,60,99,8.64,KZ,1699832885
160,kralendijk,12.15,-68.2667,301.14,83,20,8.23,BQ,1699832886
161,benalla,-36.55,145.9833,293.67,31,41,2.22,AU,1699832887
162,kindu,-2.95,25.95,294.02,97,96,0.8,CD,1699832888
163,pisco,-13.7,-76.2167,294.18,78,0,8.75,PE,1699832888
164,jinghong,21.991,100.7341,293.78,91,88,0.23,CN,1699832889
165,tubarjal,30.4999,38.216,294.88,29,91,2.79,SA,1699832890
166,iskateley,67.6803,53.1512,261.49,94,50,2.24,RU,1699832890
167,progreso,21.2833,-89.6667,301.54,80,90,7.21,MX,1699832891
168,praia,14.9215,-23.5087,297.45,83,40,4.12,CV,1699832892
169,ankang,32.68,109.0172,279.59,82,100,0.52,CN,1699832892
170,constantia,44.1833,28.65,280.76,51,87,2.69,RO,1699832896
171,atafu village,-8.5421,-172.5159,302.26,69,55,0.2,TK,1699832869
172,rongelap,11.1635,166.8941,301.08,82,100,8.68,MH,1699832898
173,san antonio de pale,-1.4014,5.6325,299.35,84,92,5.85,GQ,1699832898
174,mejit,10.2753,170.8646,301.24,81,96,8.54,MH,1699832899
175,charleston,32.7766,-79.9309,287.25,91,100,4.12,US,1699832710
176,aydintepe,40.3894,40.1506,280.89,75,89,2.74,TR,1699832901
177,mossel bay,-34.1831,22.146,286.11,89,0,0.67,ZA,1699832901
178,sao gabriel da cachoeira,-0.1303,-67.0892,300.06,76,85,0.51,BR,1699832686
179,ancud,-41.8697,-73.8203,280.84,71,30,3.65,CL,1699832903
180,fale old settlement,-9.3852,-171.2468,302.12,71,70,1.31,TK,1699832904
181,magadan,59.5667,150.8,262.0,61,100,3.96,RU,1699832654
182,weissenfels,51.2,11.9667,279.71,81,100,3.21,DE,1699832905
183,sisimiut,66.9395,-53.6735,264.49,86,99,2.96,GL,1699832906
184,fort wellington,6.4,-57.6,300.54,83,11,5.09,GY,1699832743
185,yuzhno-kurilsk,44.0306,145.8556,275.58,80,62,3.42,RU,1699832907
186,dobrota,42.4542,18.7683,285.99,95,0,0.0,ME,1699832908
187,zaragoza,41.6561,-0.8773,290.64,66,0,2.57,ES,1699832909
188,georgetown,5.4112,100.3354,300.9,92,20,1.54,MY,1699832886
189,chonchi,-42.6128,-73.8092,282.71,78,93,1.3,CL,1699832804
190,goz beida,13.95,20.55,300.89,23,84,2.42,TD,1699832911
191,annau,37.8876,58.516,281.87,76,0,3.09,TM,1699832912
192,hami,42.8,93.45,275.06,32,100,0.45,CN,1699832912
193,haiku-pauwela,20.9219,-156.3051,301.16,58,20,12.35,US,1699832907
194,balnearia,-31.0088,-62.6673,293.89,39,22,6.87,AR,1699832914
195,kolonia town,6.964,158.206,303.15,79,100,1.54,FM,1699832914
196,sikasso,10.9167,-7.0,301.37,38,82,1.24,ML,1699832915
197,dwarka,22.2394,68.9678,299.1,44,100,4.99,IN,1699832916
198,laguna,38.421,-121.4238,297.07,32,0,3.09,US,1699832917
199,cidreira,-30.1811,-50.2056,292.6,98,100,7.0,BR,1699832918
200,cozumel,20.5083,-86.9458,302.19,88,40,3.58,MX,1699832786
201,sergeyevka,53.88,67.4158,276.42,94,99,2.61,KZ,1699832919
202,walvis bay,-22.9575,14.5053,288.68,82,9,1.54,NA,1699832920
203,visakhapatnam,17.69,83.2093,296.09,100,69,2.57,IN,1699832921
204,turpan,42.9333,89.1667,277.82,32,6,0.65,CN,1699832922
205,zouerate,22.7187,-12.4521,295.89,12,0,2.81,MR,1699832922
206,jijel,36.8205,5.7667,288.12,82,20,1.54,DZ,1699832923
207,golfito,8.639,-83.166,298.26,94,100,0.95,CR,1699832924
208,pascagoula,30.3658,-88.5561,293.38,85,100,4.12,US,1699832924
209,sterling,39.0062,-77.4286,280.32,72,0,2.68,US,1699832832
210,ust-tsilma,65.441,52.1498,267.93,95,98,1.34,RU,1699832923
211,cockburn town,21.4612,-71.1419,301.43,78,3,8.7,TC,1699832926
212,kapa'a,22.0752,-159.319,302.14,80,40,9.26,US,1699832927
213,illizi,26.4833,8.4667,290.04,39,0,1.67,DZ,1699832928
214,cestos city,5.46,-9.5828,299.23,87,72,3.19,LR,1699832929
215,barclayville,4.6797,-8.2339,298.41,91,23,3.08,LR,1699832929
216,kingston,17.997,-76.7936,303.68,76,20,7.72,JM,1699832876
217,dolores,-36.3132,-57.6792,286.36,58,46,4.79,AR,1699832931
218,el calafate,-50.3408,-72.2768,281.52,71,91,3.02,AR,1699832931
219,vilyuchinsk,52.9306,158.4028,272.3,70,44,2.34,RU,1699832932
220,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,74,75,12.52,RU,1699832933
221,papatowai,-46.5619,169.4708,285.75,94,100,0.81,NZ,1699832866
222,znamensk,48.5842,45.7338,283.83,93,100,6.15,RU,1699832934
223,murtajapur,20.7333,77.3833,291.91,56,88,2.15,IN,1699832935
224,west island,-12.1568,96.8225,299.14,89,40,3.6,CC,1699832936
225,gera,50.8803,12.0819,279.14,80,100,2.93,DE,1699832936
226,inari,68.906,27.0288,252.26,100,100,1.55,FI,1699832937
227,al jawf,29.5,38.75,296.03,32,71,2.68,SA,1699832938
228,mancio lima,-7.6142,-72.8958,304.19,74,40,1.54,BR,1699832938
229,lovington,32.944,-103.3485,288.33,76,35,1.34,US,1699832939
